Equipment;Familly;Category;Event;From;To;duration
Prakla №2_ KATCO;standBy;WAITING;Обед;05.07.2025 0:00;05.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 21:00;05.07.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;04.07.2025 20:00;04.07.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.07.2025 19:00;04.07.2025 20:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 14:00;04.07.2025 19:00;5
Prakla №2_ KATCO;standBy;WAITING;Обед;04.07.2025 13:00;04.07.2025 14:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 10:30;04.07.2025 13:00;2,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;04.07.2025 9:00;04.07.2025 10:30;1,5
Prakla №2_ KATCO;use;WAITING;ППР;04.07.2025 8:00;04.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;04.07.2025 1:00;04.07.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;04.07.2025 0:00;04.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 21:00;04.07.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;03.07.2025 20:00;03.07.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;03.07.2025 19:30;03.07.2025 20:00;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 13:00;03.07.2025 19:30;6,5
Prakla №2_ KATCO;standBy;WAITING;Обед;03.07.2025 12:00;03.07.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 9:00;03.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;03.07.2025 8:00;03.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;03.07.2025 1:00;03.07.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;03.07.2025 0:00;03.07.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 20:30;03.07.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;02.07.2025 20:00;02.07.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;02.07.2025 16:30;02.07.2025 20:00;3,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 13:00;02.07.2025 16:30;3,5
Prakla №2_ KATCO;standBy;WAITING;Обед;02.07.2025 12:00;02.07.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;02.07.2025 9:00;02.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;02.07.2025 8:00;02.07.2025 9:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;02.07.2025 7:00;02.07.2025 8:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;02.07.2025 5:00;02.07.2025 7:00;2
Prakla №2_ KATCO;standBy;STANDBY;Ожидание материалов;02.07.2025 1:00;02.07.2025 5:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;02.07.2025 0:00;02.07.2025 1:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание раствора;01.07.2025 22:00;02.07.2025 0:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;01.07.2025 21:00;01.07.2025 22:00;1
Prakla №2_ KATCO;use;WAITING;ППР;01.07.2025 20:00;01.07.2025 21:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;01.07.2025 16:00;01.07.2025 20:00;4
Prakla №2_ KATCO;use;ASSEMBLY;Установка кондуктора;01.07.2025 15:00;01.07.2025 16:00;1
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;01.07.2025 14:00;01.07.2025 15:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;01.07.2025 13:00;01.07.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;01.07.2025 12:00;01.07.2025 13:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;01.07.2025 9:00;01.07.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;01.07.2025 8:00;01.07.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;01.07.2025 1:30;01.07.2025 8:00;6,5
Prakla №2_ KATCO;standBy;WAITING;Обед;01.07.2025 0:30;01.07.2025 1:30;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.06.2025 22:30;01.07.2025 0:30;2
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;30.06.2025 21:00;30.06.2025 22:30;1,5
Prakla №2_ KATCO;use;WAITING;ППР;30.06.2025 20:00;30.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;30.06.2025 13:00;30.06.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;30.06.2025 12:00;30.06.2025 13:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание материалов;30.06.2025 9:00;30.06.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;30.06.2025 8:00;30.06.2025 9:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;30.06.2025 1:00;30.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;30.06.2025 0:00;30.06.2025 1:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;29.06.2025 21:00;30.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;29.06.2025 20:00;29.06.2025 21:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание инструмента;29.06.2025 19:00;29.06.2025 20:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;29.06.2025 17:00;29.06.2025 19:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;29.06.2025 16:00;29.06.2025 17:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;29.06.2025 15:00;29.06.2025 16:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;29.06.2025 13:00;29.06.2025 15:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;29.06.2025 12:00;29.06.2025 13:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;29.06.2025 11:00;29.06.2025 12:00;1
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;29.06.2025 9:00;29.06.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;29.06.2025 8:00;29.06.2025 9:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;29.06.2025 7:00;29.06.2025 8:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;29.06.2025 1:00;29.06.2025 7:00;6
Prakla №2_ KATCO;standBy;WAITING;Обед;29.06.2025 0:00;29.06.2025 1:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;28.06.2025 21:00;29.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;28.06.2025 20:00;28.06.2025 21:00;1
Prakla №2_ KATCO;repair;REPAIR;ТО3;26.06.2025 21:00;28.06.2025 20:00;47
Prakla №2_ KATCO;use;WAITING;ППР;26.06.2025 20:00;26.06.2025 21:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;26.06.2025 13:00;26.06.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;26.06.2025 12:00;26.06.2025 13:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;26.06.2025 9:00;26.06.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;26.06.2025 8:00;26.06.2025 9:00;1
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;26.06.2025 5:00;26.06.2025 8:00;3
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;26.06.2025 1:00;26.06.2025 5:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;26.06.2025 0:00;26.06.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;25.06.2025 21:00;26.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;25.06.2025 20:00;25.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;25.06.2025 18:30;25.06.2025 20:00;1,5
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;25.06.2025 17:30;25.06.2025 18:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;25.06.2025 12:30;25.06.2025 17:30;5
Prakla №2_ KATCO;standBy;WAITING;Обед;25.06.2025 12:00;25.06.2025 12:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;25.06.2025 9:30;25.06.2025 12:00;2,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;25.06.2025 8:30;25.06.2025 9:30;1
Prakla №2_ KATCO;use;WAITING;ППР;25.06.2025 8:00;25.06.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;25.06.2025 6:30;25.06.2025 8:00;1,5
Prakla №2_ KATCO;repair;REPAIR;Замена кабеля;25.06.2025 5:00;25.06.2025 6:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;25.06.2025 1:30;25.06.2025 5:00;3,5
Prakla №2_ KATCO;standBy;WAITING;Обед;25.06.2025 0:30;25.06.2025 1:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 20:30;25.06.2025 0:30;4
Prakla №2_ KATCO;use;WAITING;ППР;24.06.2025 20:00;24.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 19:00;24.06.2025 20:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка вертлюга-сальника;24.06.2025 18:00;24.06.2025 19:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 17:00;24.06.2025 18:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка вертлюга-сальника;24.06.2025 16:00;24.06.2025 17:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 13:30;24.06.2025 16:00;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;24.06.2025 12:30;24.06.2025 13:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 11:00;24.06.2025 12:30;1,5
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;24.06.2025 9:30;24.06.2025 11:00;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 9:00;24.06.2025 9:30;0,5
Prakla №2_ KATCO;use;WAITING;ППР;24.06.2025 8:00;24.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;24.06.2025 0:30;24.06.2025 8:00;7,5
Prakla №2_ KATCO;standBy;WAITING;Обед;24.06.2025 0:00;24.06.2025 0:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;23.06.2025 20:30;24.06.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;23.06.2025 20:00;23.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;23.06.2025 18:00;23.06.2025 20:00;2
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;23.06.2025 16:30;23.06.2025 18:00;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;23.06.2025 13:00;23.06.2025 16:30;3,5
Prakla №2_ KATCO;standBy;WAITING;Обед;23.06.2025 12:00;23.06.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;23.06.2025 8:30;23.06.2025 12:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;23.06.2025 8:00;23.06.2025 8:30;0,5
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;23.06.2025 1:00;23.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;23.06.2025 0:00;23.06.2025 1:00;1
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;22.06.2025 21:00;23.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;22.06.2025 20:00;22.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;22.06.2025 18:00;22.06.2025 20:00;2
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;22.06.2025 13:00;22.06.2025 18:00;5
Prakla №2_ KATCO;standBy;WAITING;Обед;22.06.2025 12:00;22.06.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Сварочные работы;22.06.2025 9:00;22.06.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;22.06.2025 8:00;22.06.2025 9:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт;22.06.2025 1:00;22.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;22.06.2025 0:00;22.06.2025 1:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;21.06.2025 20:30;22.06.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;21.06.2025 20:00;21.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DR_DRILLING_COMPLICATION;Потеря бурильных труб;21.06.2025 17:00;21.06.2025 20:00;3
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.06.2025 15:30;21.06.2025 17:00;1,5
Prakla №2_ KATCO;standBy;STANDBY;Ожидание раствора;21.06.2025 15:00;21.06.2025 15:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.06.2025 14:00;21.06.2025 15:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;21.06.2025 13:00;21.06.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;21.06.2025 12:00;21.06.2025 13:00;1
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;21.06.2025 10:00;21.06.2025 12:00;2
Prakla №2_ KATCO;use;WAITING;ППР;21.06.2025 8:00;21.06.2025 10:00;2
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.06.2025 3:00;21.06.2025 8:00;5
Prakla №2_ KATCO;use;ASSEMBLY;Завоз раствора;20.06.2025 23:30;21.06.2025 3:00;3,5
Prakla №2_ KATCO;use;ASSEMBLY;Копка зумпфа;20.06.2025 22:00;20.06.2025 23:30;1,5
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;20.06.2025 21:00;20.06.2025 22:00;1
Prakla №2_ KATCO;use;WAITING;ППР;20.06.2025 20:00;20.06.2025 21:00;1
Prakla №2_ KATCO;standBy;STANDBY;Ожидание работы;20.06.2025 16:00;20.06.2025 20:00;4
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;20.06.2025 15:00;20.06.2025 16:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;20.06.2025 13:00;20.06.2025 15:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;20.06.2025 12:00;20.06.2025 13:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;20.06.2025 11:00;20.06.2025 12:00;1
Prakla №2_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание водовоза;20.06.2025 9:00;20.06.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;20.06.2025 8:00;20.06.2025 9:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;20.06.2025 5:00;20.06.2025 8:00;3
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;20.06.2025 3:00;20.06.2025 5:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Установка кондуктора;20.06.2025 2:00;20.06.2025 3:00;1
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;20.06.2025 0:30;20.06.2025 2:00;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;20.06.2025 0:00;20.06.2025 0:30;0,5
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;19.06.2025 20:30;20.06.2025 0:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;19.06.2025 20:00;19.06.2025 20:30;0,5
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;19.06.2025 19:00;19.06.2025 20:00;1
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;19.06.2025 16:00;19.06.2025 19:00;3
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;19.06.2025 12:30;19.06.2025 16:00;3,5
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;19.06.2025 11:00;19.06.2025 12:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.06.2025 9:00;19.06.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;19.06.2025 8:00;19.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.06.2025 4:30;19.06.2025 8:00;3,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;19.06.2025 4:00;19.06.2025 4:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.06.2025 3:30;19.06.2025 4:00;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;19.06.2025 1:30;19.06.2025 3:30;2
Prakla №2_ KATCO;standBy;WAITING;Обед;19.06.2025 0:30;19.06.2025 1:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.06.2025 21:00;19.06.2025 0:30;3,5
Prakla №2_ KATCO;use;WAITING;ППР;18.06.2025 20:00;18.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.06.2025 13:00;18.06.2025 20:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;18.06.2025 12:30;18.06.2025 13:00;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.06.2025 8:30;18.06.2025 12:30;4
Prakla №2_ KATCO;use;WAITING;ППР;18.06.2025 8:00;18.06.2025 8:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;18.06.2025 3:00;18.06.2025 8:00;5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.06.2025 2:30;18.06.2025 3:00;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;18.06.2025 2:00;18.06.2025 2:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;18.06.2025 0:30;18.06.2025 2:00;1,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;17.06.2025 22:00;18.06.2025 0:30;2,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.06.2025 20:30;17.06.2025 22:00;1,5
Prakla №2_ KATCO;use;WAITING;ППР;17.06.2025 20:00;17.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.06.2025 9:30;17.06.2025 20:00;10,5
Prakla №2_ KATCO;use;WAITING;ППР;17.06.2025 8:00;17.06.2025 9:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.06.2025 6:00;17.06.2025 8:00;2
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;17.06.2025 2:00;17.06.2025 6:00;4
Prakla №2_ KATCO;standBy;WAITING;Обед;17.06.2025 1:00;17.06.2025 2:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;16.06.2025 20:30;17.06.2025 1:00;4,5
Prakla №2_ KATCO;use;WAITING;ППР;16.06.2025 20:00;16.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;16.06.2025 18:30;16.06.2025 20:00;1,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;16.06.2025 17:30;16.06.2025 18:30;1
Prakla №2_ KATCO;use;DRILLING;Пилотное бурение;16.06.2025 15:30;16.06.2025 17:30;2
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;16.06.2025 14:00;16.06.2025 15:30;1,5
Prakla №2_ KATCO;use;LEVELLING;Планировка под агрегат;16.06.2025 13:00;16.06.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;16.06.2025 12:00;16.06.2025 13:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;16.06.2025 10:00;16.06.2025 12:00;2
Prakla №2_ KATCO;use;ASSEMBLY;Демонтаж агрегата;16.06.2025 9:00;16.06.2025 10:00;1
Prakla №2_ KATCO;use;WAITING;ППР;16.06.2025 8:00;16.06.2025 9:00;1
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;16.06.2025 5:30;16.06.2025 8:00;2,5
Prakla №2_ KATCO;use;LOGGING;Каротаж фазы 1;16.06.2025 2:00;16.06.2025 5:30;3,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;16.06.2025 1:00;16.06.2025 2:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;16.06.2025 0:30;16.06.2025 1:00;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;15.06.2025 20:30;16.06.2025 0:30;4
Prakla №2_ KATCO;use;WAITING;ППР;15.06.2025 20:00;15.06.2025 20:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;15.06.2025 18:30;15.06.2025 20:00;1,5
Prakla №2_ KATCO;use;DRILLING;Промывка ствола скважины;15.06.2025 17:30;15.06.2025 18:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;15.06.2025 15:30;15.06.2025 17:30;2
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;15.06.2025 14:30;15.06.2025 15:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;15.06.2025 13:00;15.06.2025 14:30;1,5
Prakla №2_ KATCO;standBy;WAITING;Обед;15.06.2025 12:00;15.06.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;15.06.2025 11:00;15.06.2025 12:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка гидравлической части;15.06.2025 9:00;15.06.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;15.06.2025 8:00;15.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;15.06.2025 1:00;15.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;15.06.2025 0:00;15.06.2025 1:00;1
Prakla №2_ KATCO;repair;REPAIR;Ремонт;14.06.2025 23:30;15.06.2025 0:00;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.06.2025 14:30;14.06.2025 23:30;9
Prakla №2_ KATCO;repair;REPAIR;Ремонт;14.06.2025 12:30;14.06.2025 14:30;2
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.06.2025 12:00;14.06.2025 12:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Ремонт вращателя;14.06.2025 9:00;14.06.2025 12:00;3
Prakla №2_ KATCO;use;WAITING;ППР;14.06.2025 8:00;14.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.06.2025 3:00;14.06.2025 8:00;5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;14.06.2025 0:30;14.06.2025 3:00;2,5
Prakla №2_ KATCO;standBy;WAITING;Обед;14.06.2025 0:00;14.06.2025 0:30;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;13.06.2025 21:30;14.06.2025 0:00;2,5
Prakla №2_ KATCO;use;WAITING;ППР;13.06.2025 20:00;13.06.2025 21:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;13.06.2025 16:00;13.06.2025 20:00;4
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;13.06.2025 15:00;13.06.2025 16:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;13.06.2025 13:00;13.06.2025 15:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;13.06.2025 12:00;13.06.2025 13:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;13.06.2025 8:30;13.06.2025 12:00;3,5
Prakla №2_ KATCO;use;WAITING;ППР;13.06.2025 8:00;13.06.2025 8:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;13.06.2025 1:00;13.06.2025 8:00;7
Prakla №2_ KATCO;standBy;WAITING;Обед;13.06.2025 0:00;13.06.2025 1:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;12.06.2025 21:00;13.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;12.06.2025 20:00;12.06.2025 21:00;1
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;12.06.2025 17:30;12.06.2025 20:00;2,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;12.06.2025 17:00;12.06.2025 17:30;0,5
Prakla №2_ KATCO;repair;REPAIR;Поломка электрической части;12.06.2025 15:30;12.06.2025 17:00;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;12.06.2025 10:00;12.06.2025 15:30;5,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;12.06.2025 9:00;12.06.2025 10:00;1
Prakla №2_ KATCO;use;WAITING;ППР;12.06.2025 8:00;12.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;12.06.2025 0:30;12.06.2025 8:00;7,5
Prakla №2_ KATCO;standBy;WAITING;Обед;11.06.2025 23:30;12.06.2025 0:30;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.06.2025 21:00;11.06.2025 23:30;2,5
Prakla №2_ KATCO;use;WAITING;ППР;11.06.2025 20:00;11.06.2025 21:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.06.2025 14:30;11.06.2025 20:00;5,5
Prakla №2_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание водовоза;11.06.2025 14:00;11.06.2025 14:30;0,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.06.2025 13:00;11.06.2025 14:00;1
Prakla №2_ KATCO;standBy;WAITING;Обед;11.06.2025 12:30;11.06.2025 13:00;0,5
Prakla №2_ KATCO;use;DRILLING;СПО при бурении;11.06.2025 11:00;11.06.2025 12:30;1,5
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.06.2025 9:00;11.06.2025 11:00;2
Prakla №2_ KATCO;use;WAITING;ППР;11.06.2025 8:00;11.06.2025 9:00;1
Prakla №2_ KATCO;use;DRILLING;Бурение с обратной промывкой;11.06.2025 3:00;11.06.2025 8:00;5
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;11.06.2025 1:00;11.06.2025 3:00;2
Prakla №2_ KATCO;standBy;WAITING;Обед;11.06.2025 0:00;11.06.2025 1:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;10.06.2025 21:00;11.06.2025 0:00;3
Prakla №2_ KATCO;use;WAITING;ППР;10.06.2025 20:00;10.06.2025 21:00;1
Prakla №2_ KATCO;use;ASSEMBLY;Монтаж агрегата;10.06.2025 19:00;10.06.2025 20:00;1
Prakla №2_ KATCO;use;TRANSPORT;Перевозка агрегата;10.06.2025 17:00;10.06.2025 19:00;2
Prakla №2_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;10.06.2025 15:00;10.06.2025 17:00;2
