Equipment;Familly;Category;Event;From;To;duration
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;22.04.2025 16:00;22.04.2025 18:30;2,5
Prakla №1_ KATCO;standBy;WAITING;Ожидание каротажа фаза 1;22.04.2025 13:00;22.04.2025 16:00;3
Prakla №1_ KATCO;standBy;WAITING;Обед;22.04.2025 12:00;22.04.2025 13:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;22.04.2025 11:00;22.04.2025 12:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;22.04.2025 8:30;22.04.2025 11:00;2,5
Prakla №1_ KATCO;use;WAITING;ППР;22.04.2025 8:00;22.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;22.04.2025 6:00;22.04.2025 8:00;2
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;22.04.2025 5:00;22.04.2025 6:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.04.2025 23:30;22.04.2025 5:00;5,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;21.04.2025 22:30;21.04.2025 23:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.04.2025 21:00;21.04.2025 22:30;1,5
Prakla №1_ KATCO;use;WAITING;ППР;21.04.2025 20:00;21.04.2025 21:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.04.2025 14:00;21.04.2025 20:00;6
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;21.04.2025 13:00;21.04.2025 14:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.04.2025 9:30;21.04.2025 13:00;3,5
Prakla №1_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание трактора;21.04.2025 9:00;21.04.2025 9:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;21.04.2025 8:30;21.04.2025 9:00;0,5
Prakla №1_ KATCO;use;WAITING;ППР;21.04.2025 8:00;21.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.04.2025 22:00;21.04.2025 8:00;10
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;20.04.2025 21:00;20.04.2025 22:00;1
Prakla №1_ KATCO;use;WAITING;ППР;20.04.2025 20:00;20.04.2025 21:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;20.04.2025 19:30;20.04.2025 20:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;20.04.2025 13:30;20.04.2025 19:30;6
Prakla №1_ KATCO;standBy;WAITING;Обед;20.04.2025 13:00;20.04.2025 13:30;0,5
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;20.04.2025 11:00;20.04.2025 13:00;2
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;20.04.2025 10:00;20.04.2025 11:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;20.04.2025 9:00;20.04.2025 10:00;1
Prakla №1_ KATCO;use;WAITING;ППР;20.04.2025 8:00;20.04.2025 9:00;1
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;20.04.2025 5:30;20.04.2025 8:00;2,5
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;20.04.2025 2:30;20.04.2025 5:30;3
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;20.04.2025 1:30;20.04.2025 2:30;1
Prakla №1_ KATCO;standBy;WAITING;Обед;20.04.2025 0:30;20.04.2025 1:30;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;19.04.2025 21:00;20.04.2025 0:30;3,5
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;19.04.2025 20:00;19.04.2025 21:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.04.2025 13:00;19.04.2025 20:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;19.04.2025 12:30;19.04.2025 13:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.04.2025 11:30;19.04.2025 12:30;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;19.04.2025 9:00;19.04.2025 11:30;2,5
Prakla №1_ KATCO;use;WAITING;ППР;19.04.2025 8:00;19.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;19.04.2025 1:00;19.04.2025 8:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;19.04.2025 0:30;19.04.2025 1:00;0,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;18.04.2025 23:30;19.04.2025 0:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.04.2025 21:00;18.04.2025 23:30;2,5
Prakla №1_ KATCO;use;WAITING;ППР;18.04.2025 20:30;18.04.2025 21:00;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.04.2025 14:00;18.04.2025 20:30;6,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;18.04.2025 13:00;18.04.2025 14:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.04.2025 12:00;18.04.2025 13:00;1
Prakla №1_ KATCO;standBy;SB_WAITING_FOR_EQUIPMENT;Ожидание компрессора;18.04.2025 11:00;18.04.2025 12:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.04.2025 10:00;18.04.2025 11:00;1
Prakla №1_ KATCO;repair;REPAIR;Ремонт компрессора;18.04.2025 9:00;18.04.2025 10:00;1
Prakla №1_ KATCO;use;WAITING;ППР;18.04.2025 8:00;18.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;18.04.2025 1:00;18.04.2025 8:00;7
Prakla №1_ KATCO;standBy;WAITING;Обед;18.04.2025 0:00;18.04.2025 1:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.04.2025 21:00;18.04.2025 0:00;3
Prakla №1_ KATCO;use;WAITING;ППР;17.04.2025 20:00;17.04.2025 21:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.04.2025 14:30;17.04.2025 20:00;5,5
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;17.04.2025 12:30;17.04.2025 14:30;2
Prakla №1_ KATCO;standBy;WAITING;Обед;17.04.2025 12:00;17.04.2025 12:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.04.2025 8:30;17.04.2025 12:00;3,5
Prakla №1_ KATCO;use;WAITING;ППР;17.04.2025 8:00;17.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;17.04.2025 5:00;17.04.2025 8:00;3
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;17.04.2025 1:00;17.04.2025 5:00;4
Prakla №1_ KATCO;standBy;WAITING;Обед;17.04.2025 0:00;17.04.2025 1:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Установка кондуктора;16.04.2025 22:00;17.04.2025 0:00;2
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;16.04.2025 20:30;16.04.2025 22:00;1,5
Prakla №1_ KATCO;use;WAITING;ППР;16.04.2025 20:00;16.04.2025 20:30;0,5
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;16.04.2025 17:00;16.04.2025 20:00;3
Prakla №1_ KATCO;standBy;STANDBY;Ожидание работы;16.04.2025 15:00;16.04.2025 17:00;2
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;16.04.2025 14:00;16.04.2025 15:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;16.04.2025 13:00;16.04.2025 14:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;16.04.2025 11:00;16.04.2025 13:00;2
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;16.04.2025 9:00;16.04.2025 11:00;2
Prakla №1_ KATCO;use;WAITING;ППР;16.04.2025 8:00;16.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;16.04.2025 2:00;16.04.2025 8:00;6
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;16.04.2025 1:00;16.04.2025 2:00;1
Prakla №1_ KATCO;standBy;WAITING;Обед;16.04.2025 0:00;16.04.2025 1:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;15.04.2025 22:00;16.04.2025 0:00;2
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;15.04.2025 21:00;15.04.2025 22:00;1
Prakla №1_ KATCO;use;WAITING;ППР;15.04.2025 20:00;15.04.2025 21:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;15.04.2025 18:00;15.04.2025 20:00;2
Prakla №1_ KATCO;use;TRANSPORT;Перевозка агрегата;15.04.2025 17:00;15.04.2025 18:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;15.04.2025 16:30;15.04.2025 17:00;0,5
Prakla №1_ KATCO;standBy;WAITING;Ожидание результатов каротажа фаза 1;15.04.2025 16:00;15.04.2025 16:30;0,5
Prakla №1_ KATCO;use;LOGGING;Каротаж фазы 1;15.04.2025 14:00;15.04.2025 16:00;2
Prakla №1_ KATCO;standBy;WAITING;Обед;15.04.2025 13:00;15.04.2025 14:00;1
Prakla №1_ KATCO;use;ASSEMBLY;Демонтаж агрегата;15.04.2025 12:00;15.04.2025 13:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;15.04.2025 9:00;15.04.2025 12:00;3
Prakla №1_ KATCO;use;WAITING;ППР;15.04.2025 8:00;15.04.2025 9:00;1
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;15.04.2025 5:30;15.04.2025 8:00;2,5
Prakla №1_ KATCO;use;DRILLING;Промывка ствола скважины;15.04.2025 4:30;15.04.2025 5:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;15.04.2025 1:30;15.04.2025 4:30;3
Prakla №1_ KATCO;standBy;WAITING;Обед;15.04.2025 0:30;15.04.2025 1:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.04.2025 22:00;15.04.2025 0:30;2,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;14.04.2025 20:30;14.04.2025 22:00;1,5
Prakla №1_ KATCO;use;WAITING;ППР;14.04.2025 20:00;14.04.2025 20:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.04.2025 10:30;14.04.2025 20:00;9,5
Prakla №1_ KATCO;use;DRILLING;СПО при бурении;14.04.2025 9:30;14.04.2025 10:30;1
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.04.2025 8:30;14.04.2025 9:30;1
Prakla №1_ KATCO;use;WAITING;ППР;14.04.2025 8:00;14.04.2025 8:30;0,5
Prakla №1_ KATCO;use;DRILLING;Бурение с обратной промывкой;14.04.2025 3:00;14.04.2025 8:00;5
Prakla №1_ KATCO;use;ASSEMBLY;Монтаж агрегата;14.04.2025 1:30;14.04.2025 3:00;1,5
Prakla №1_ KATCO;use;LEVELLING;Планировка под агрегат;14.04.2025 1:00;14.04.2025 1:30;0,5
Prakla №1_ KATCO;standBy;WAITING;Обед;14.04.2025 0:00;14.04.2025 1:00;1
